Sample,24.CB,27.CB,29.CB,31.CB,32.CB,33.CB,34.CB,35.CB,36.CB,37.CB,38.CB,39.CB
k__Bacteria;p__Cyanobacteria;__;__;__,7,112,0,0,67,30,10,0,63,84,144,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,0,0,53,0,0,83,0,67,0,0,0,0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae,0,0,0,0,0,0,0,81,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae,0,68,42,0,0,0,0,49,0,81,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,0,0,0,0,80,0,59,74,219,0,0,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae,0,0,0,0,0,0,0,159,65,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,0,0,0,0,0,0,0,79,31,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,53,48,2,0,0,0,0,44,0,78,0,0
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22;f__,0,0,0,0,0,0,0,0,77,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae,0,0,0,0,66,0,0,145,123,42,35,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,0,0,0,0,0,0,0,0,75,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae,0,0,92,21,17,0,0,110,181,0,117,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,0,0,51,0,0,0,0,20,0,80,219,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,0,0,151,12,39,0,0,130,39,0,0,0
k__Bacteria;p__Cyanobacteria;c__;o__;f__,0,0,0,0,0,0,0,0,73,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,0,0,0,0,0,0,0,0,0,73,0,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae,0,72,72,0,0,0,0,0,65,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae,0,0,72,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48;f__,0,0,0,0,0,0,0,72,0,0,0,0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae,0,0,0,0,0,0,0,0,72,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,0,30,0,0,0,0,0,66,149,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae,0,0,0,41,0,0,0,215,258,0,67,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae,0,31,0,0,0,0,31,48,83,0,110,0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__,0,0,94,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,0,0,0,0,104,0,191,0,28,0,0,0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__,0,0,0,0,0,0,0,135,53,0,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae,0,0,0,0,67,0,0,52,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae],4,0,0,0,0,0,0,66,12,0,0,0
